# Generated=20150326-11:55:16, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
153,psa,12,/home/unsj/datasets/proteins.32MB,33554431,4.668496,167840410935,77750173,16850846
154,psa,12,/home/unsj/datasets/english.128MB,134217727,27.530951,975171079608,773273012,85516304
155,psa,12,/home/unsj/datasets/english.128MB,134217727,27.382357,975093894319,821091514,85920673
156,psa,12,/home/unsj/datasets/english.128MB,134217727,27.516445,975073730340,802099966,85563581
157,psa,12,/home/unsj/datasets/proteins.32MB,33554431,6.372626,251179486317,89023308,26335025
158,psa,12,/home/unsj/datasets/proteins.32MB,33554431,6.316455,251001879542,92982099,26395029
159,psa,12,/home/unsj/datasets/proteins.32MB,33554431,6.319179,250991009925,88372128,26321228
160,psa,12,/home/unsj/datasets/english.128MB,134217727,79.842156,1325947862616,778334241,127074599
161,psa,12,/home/unsj/datasets/english.128MB,134217727,87.235736,1424151757633,759077671,127291252
162,psa,12,/home/unsj/datasets/english.128MB,134217727,93.117220,1401191693047,754689033,126845850
163,psa,12,/home/unsj/datasets/proteins.4MB,4194303,1.070284,34892507114,1721928,3907024
164,psa,12,/home/unsj/datasets/proteins.4MB,4194303,1.341621,35017792234,1760418,3932182
165,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.880634,34841167364,1647139,3878934
166,psa,12,/home/unsj/datasets/english.16MB,16777215,4.640560,176175096431,20729326,17635778
167,psa,12,/home/unsj/datasets/english.16MB,16777215,4.532625,175951426887,20213944,17664801
168,psa,12,/home/unsj/datasets/english.16MB,16777215,4.917634,176023450498,19637402,17674213
169,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.821254,29979116793,1270636,1254873
170,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.829765,31851761919,1214268,1253056
171,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.823647,30620392840,1236327,1254996
172,psa,12,/home/unsj/datasets/english.16MB,16777215,2.525105,89958868550,21398595,7558345
173,psa,12,/home/unsj/datasets/english.16MB,16777215,2.532135,90068948820,22155444,7500257
174,psa,12,/home/unsj/datasets/english.16MB,16777215,2.537737,89994222376,22499532,7554278
175,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.618088,24166162350,1455901,2491930
176,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.634790,24131473902,1402105,2493840
177,psa,12,/home/unsj/datasets/proteins.4MB,4194303,0.628653,24135629747,1499663,2499191
178,psa,12,/home/unsj/datasets/english.16MB,16777215,3.368874,132772608939,18789462,12047610
179,psa,12,/home/unsj/datasets/english.16MB,16777215,3.376585,132908365179,21125866,12057724
