# Generated=20150326-16:09:00, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
106,psa,10,/home/unsj/datasets/dna.4MB,4194303,0.743202,23808710441,1408632,2485157
107,psa,10,/home/unsj/datasets/dna.4MB,4194303,0.746738,23808904433,1373651,2486685
108,psa,10,/home/unsj/datasets/dna.4MB,4194303,0.738094,23799395489,1392600,2487085
109,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.238964,7523936958,123360,842048
110,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.241031,7520975060,119289,842535
111,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.403077,7551697005,136219,857305
112,psa,10,/home/unsj/datasets/dna.64MB,67108863,21.273436,711536738741,320455916,78848682
113,psa,10,/home/unsj/datasets/dna.64MB,67108863,21.117663,711464313810,313741455,78860904
114,psa,10,/home/unsj/datasets/dna.64MB,67108863,21.376637,711463121837,319108928,78921726
115,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.738015,25196036265,188072,177745
116,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.720365,24482788506,175504,157708
117,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.720005,24508063944,184393,212721
118,psa,10,/home/unsj/datasets/dna.64MB,67108863,12.769052,367363511579,340886963,38091545
119,psa,10,/home/unsj/datasets/dna.64MB,67108863,13.057269,367356930749,325815064,37969013
120,psa,10,/home/unsj/datasets/dna.64MB,67108863,12.996072,367385657701,330097546,37779369
121,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.166491,4840074298,127773,509171
122,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.160622,4828932081,131717,498379
123,psa,10,/home/unsj/datasets/proteins.1MB,1048575,0.159519,4846413780,123410,496682
